account_id,federal_account_symbol,federal_account_name
313,014-4081,"Upper Colorado River Basin Fund, Bureau of Reclamation"
314,014-4409,"Revolving Fund for Loans, Liquidating Account, Bureau of Indian Affairs"
315,014-4410,"Indian Loan Guaranty and Insurance Fund, Liquidating Account, Bureau of Indian Affairs"
316,014-4488,"Visitor Experience Improvements Fund, National Park Service, Interior"
317,014-4523,"Working Capital Fund, Departmental Management"
318,014-4524,"Working Capital Fund, Bureau of Reclamation"
319,014-4525,"Working Capital Fund, Bureau of Land Management"
320,014-4529,"Interior Franchise Fund, Departmental Management"
321,014-4556,"Working Capital Fund, Geological Survey"
322,014-5003,"Payments to States from Receipts Under Mineral Leasing, Public and Acquired Military Lands, Office of Natural Resources Revenue, Interior"
323,014-5015,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement"
324,014-5016,"Payments to States from Grazing Receipts, Etc., Public Lands Outside Grazing Districts, Bureau of Land Management"
325,014-5017,"Service Charges, Deposits and Forfeitures, Bureau of Land Management"
326,014-5018,"Expenses, Road Maintenance Deposits, Bureau of Land Management"
327,014-5020,"Land Acquisition, United States Fish and Wildlife Service"
328,014-5029,"Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service"
329,014-5032,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Bureau of Land Management"
330,014-5033,"Land Acquisition, Bureau of Land Management"
331,014-5035,"Land Acquisition and State Assistance, National Park Service"
332,014-5044,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Miscellaneous, Bureau of Land Management"
333,014-5045,"Payments to Alaska from Oil and Gas Leases, National Petroleum Reserve, Office of Natural Resources Revenue, Interior"
334,014-5048,"Operation and Maintenance of Quarters, Bureau of Land Management"
335,014-5049,"Operation and Maintenance of Quarters, National Park Service"
336,014-5050,"Operation and Maintenance of Quarters, United States Fish and Wildlife Service"
337,014-5051,"Operation and Maintenance of Quarters, Bureau of Indian Affairs"
338,014-5053,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior"
339,014-5055,"Operation and Maintenance of Quarters, Geological Survey"
340,014-5058,"Operation, Maintenance, and Replacement of Project Works, North Platte Project (Gering and Fort Laramie, Goshen, and Pathfinder Irrigation Districts), Bureau of Reclamation"
341,014-5063,"Regulation and Technology, Civil Penalties, Office of Surface Mining Reclamation and Enforcement"
342,014-5065,"Policy and Administration, Bureau of Reclamation, Interior"
343,014-5076,"Delaware Water Gap Route 209 Operations, National Park Service"
344,014-5091,"National Wildlife Refuge Fund, United States Fish and Wildlife Service"
345,014-5092,"Proceeds from Sales, Water Resource Development Projects, United States Fish and Wildlife Service"
346,014-5103,"Payments to Local Units, Klamath Reclamation Area, Bureau of Reclamation"
347,014-5109,"Recreation Enhancement Fee Program, Bureau of Reclamation"
348,014-5110,"Recreation Enhancement Fee Program, National Park Service"
349,014-5129,"Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management"
350,014-5130,"Indian Arts and Crafts Fund, Departmental Management"
351,014-5132,"Range Improvements, Bureau of Land Management"
352,014-5133,"Payments to States (Proceeds of Sales), Bureau of Land Management"
353,014-5134,"Payment to Oklahoma (Royalties), Office of Natural Resources Revenue, Interior"
354,014-5137,"Migratory Bird Conservation Account, United States Fish and Wildlife Service"
355,014-5140,"Historic Preservation Fund, National Park Service"
356,014-5141,"National Indian Gaming Commission, Gaming Activity Fees"
357,014-5143,"Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service"
358,014-5157,"Lahontan Valley and Pyramid Lake Fish and Wildlife Fund, United States Fish and Wildlife Service"
