function_id,budget_function,budget_subfunction
16,Commerce and Housing Credit,Mortgage credit
3,International Affairs,International development and humanitarian assistance
10,Agriculture,Farm income stabilization
3,International Affairs,International development and humanitarian assistance
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
10,Agriculture,Farm income stabilization
10,Agriculture,Farm income stabilization
6,Agriculture,Agricultural research and services
3,International Affairs,International development and humanitarian assistance
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
10,Agriculture,Farm income stabilization
14,Natural Resources and Environment,Conservation and land management
10,Agriculture,Farm income stabilization
11,Community and Regional Development,Disaster relief and insurance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
17,Income Security,Food and nutrition assistance
17,Income Security,Food and nutrition assistance
17,Income Security,Food and nutrition assistance
17,Income Security,Food and nutrition assistance
17,Income Security,Food and nutrition assistance
10,Agriculture,Farm income stabilization
12,Health,Consumer and occupational health and safety
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
10,Agriculture,Farm income stabilization
10,Agriculture,Farm income stabilization
16,Commerce and Housing Credit,Mortgage credit
6,Agriculture,Agricultural research and services
13,Community and Regional Development,Area and regional development
15,Energy,Energy supply
13,Community and Regional Development,Area and regional development
10,Agriculture,Farm income stabilization
18,Natural Resources and Environment,Other natural resources
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
17,Income Security,Food and nutrition assistance
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
10,Agriculture,Farm income stabilization
14,Natural Resources and Environment,Conservation and land management
10,Agriculture,Farm income stabilization
10,Agriculture,Farm income stabilization
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
10,Agriculture,Farm income stabilization
6,Agriculture,Agricultural research and services
14,Natural Resources and Environment,Conservation and land management
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
21,Income Security,Federal employee retirement and disability
6,Agriculture,Agricultural research and services
6,Agriculture,Agricultural research and services
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
13,Community and Regional Development,Area and regional development
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
23,"Education, Training, Employment, and Social Services",Research and general education aids
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
24,Natural Resources and Environment,Pollution control and abatement
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
13,Community and Regional Development,Area and regional development
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
14,Natural Resources and Environment,Conservation and land management
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
19,General Government,General purpose fiscal assistance
25,General Government,Other general government
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
25,General Government,Other general government
25,General Government,Other general government
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
24,Natural Resources and Environment,Pollution control and abatement
26,Natural Resources and Environment,Conservation and land management;Pollution control and abatement
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
27,Health,Health care services
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
13,Community and Regional Development,Area and regional development
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
13,Community and Regional Development,Area and regional development
18,Natural Resources and Environment,Other natural resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
20,Natural Resources and Environment,Recreational resources
18,Natural Resources and Environment,Other natural resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
8,Natural Resources and Environment,Water resources
18,Natural Resources and Environment,Other natural resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
20,Natural Resources and Environment,Recreational resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
14,Natural Resources and Environment,Conservation and land management
19,General Government,General purpose fiscal assistance
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
8,Natural Resources and Environment,Water resources
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
8,Natural Resources and Environment,Water resources
13,Community and Regional Development,Area and regional development
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
14,Natural Resources and Environment,Conservation and land management
13,Community and Regional Development,Area and regional development
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
14,Natural Resources and Environment,Conservation and land management
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
13,Community and Regional Development,Area and regional development
18,Natural Resources and Environment,Other natural resources
14,Natural Resources and Environment,Conservation and land management
18,Natural Resources and Environment,Other natural resources
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
2,Administration of Justice,Federal litigative and judicial activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
31,Administration of Justice,Criminal justice assistance
32,National Defense,Defense-related activities
30,Administration of Justice,Federal law enforcement activities
2,Administration of Justice,Federal litigative and judicial activities
2,Administration of Justice,Federal litigative and judicial activities
2,Administration of Justice,Federal litigative and judicial activities
30,Administration of Justice,Federal law enforcement activities
2,Administration of Justice,Federal litigative and judicial activities
2,Administration of Justice,Federal litigative and judicial activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
2,Administration of Justice,Federal litigative and judicial activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
33,Administration of Justice,Federal correctional activities
2,Administration of Justice,Federal litigative and judicial activities
33,Administration of Justice,Federal correctional activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
33,Administration of Justice,Federal correctional activities
30,Administration of Justice,Federal law enforcement activities
2,Administration of Justice,Federal litigative and judicial activities
31,Administration of Justice,Criminal justice assistance
2,Administration of Justice,Federal litigative and judicial activities
2,Administration of Justice,Federal litigative and judicial activities
30,Administration of Justice,Federal law enforcement activities
31,Administration of Justice,Criminal justice assistance
31,Administration of Justice,Criminal justice assistance
32,National Defense,Defense-related activities
30,Administration of Justice,Federal law enforcement activities
31,Administration of Justice,Criminal justice assistance
33,Administration of Justice,Federal correctional activities
34,"Education, Training, Employment, and Social Services",Training and employment
34,"Education, Training, Employment, and Social Services",Training and employment
35,Income Security,General retirement and disability insurance (excluding social se
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
20,Natural Resources and Environment,Recreational resources
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
37,International Affairs,Foreign information and exchange activities
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
14,Natural Resources and Environment,Conservation and land management
3,International Affairs,International development and humanitarian assistance
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
4,International Affairs,International security assistance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
37,International Affairs,Foreign information and exchange activities
29,International Affairs,Conduct of foreign affairs
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
29,International Affairs,Conduct of foreign affairs
29,International Affairs,Conduct of foreign affairs
5,International Affairs,International financial programs
5,International Affairs,International financial programs
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
5,International Affairs,International financial programs
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
30,Administration of Justice,Federal law enforcement activities
38,General Government,Central fiscal operations
22,Commerce and Housing Credit,Other advancement of commerce
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
16,Commerce and Housing Credit,Mortgage credit
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
9,Income Security,Housing assistance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
39,"Education, Training, Employment, and Social Services",Social services
9,Income Security,Housing assistance
23,"Education, Training, Employment, and Social Services",Research and general education aids
40,Transportation,Ground transportation
41,Transportation,Air transportation
42,Income Security,Other income security
7,Community and Regional Development,Community development
7,Community and Regional Development,Community development
38,General Government,Central fiscal operations
30,Administration of Justice,Federal law enforcement activities
38,General Government,Central fiscal operations
2,Administration of Justice,Federal litigative and judicial activities
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
43,Net Interest,Interest on Treasury debt securities (gross)
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
44,Net Interest,Other interest
42,Income Security,Other income security
42,Income Security,Other income security
38,General Government,Central fiscal operations
30,Administration of Justice,Federal law enforcement activities
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
42,Income Security,Other income security
27,Health,Health care services
22,Commerce and Housing Credit,Other advancement of commerce
45,"Education, Training, Employment, and Social Services",Higher education
19,General Government,General purpose fiscal assistance
42,Income Security,Other income security
42,Income Security,Other income security
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
15,Energy,Energy supply
46,Energy,Energy conservation
27,Health,Health care services
27,Health,Health care services
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
22,Commerce and Housing Credit,Other advancement of commerce
15,Energy,Energy supply
46,Energy,Energy conservation
46,Energy,Energy conservation
38,General Government,Central fiscal operations
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
5,International Affairs,International financial programs
19,General Government,General purpose fiscal assistance
25,General Government,Other general government
38,General Government,Central fiscal operations
2,Administration of Justice,Federal litigative and judicial activities
35,Income Security,General retirement and disability insurance (excluding social se
45,"Education, Training, Employment, and Social Services",Higher education
25,General Government,Other general government
25,General Government,Other general government
25,General Government,Other general government
25,General Government,Other general government
25,General Government,Other general government
19,General Government,General purpose fiscal assistance
19,General Government,General purpose fiscal assistance
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
31,Administration of Justice,Criminal justice assistance
19,General Government,General purpose fiscal assistance
31,Administration of Justice,Criminal justice assistance
27,Health,Health care services
44,Net Interest,Other interest
25,General Government,Other general government
44,Net Interest,Other interest
44,Net Interest,Other interest
44,Net Interest,Other interest
44,Net Interest,Other interest
7,Community and Regional Development,Community development
38,General Government,Central fiscal operations
22,Commerce and Housing Credit,Other advancement of commerce
19,General Government,General purpose fiscal assistance
22,Commerce and Housing Credit,Other advancement of commerce
41,Transportation,Air transportation
19,General Government,General purpose fiscal assistance
19,General Government,General purpose fiscal assistance
3,International Affairs,International development and humanitarian assistance
25,General Government,Other general government
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
30,Administration of Justice,Federal law enforcement activities
38,General Government,Central fiscal operations
5,International Affairs,International financial programs
19,General Government,General purpose fiscal assistance
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
25,General Government,Other general government
25,General Government,Other general government
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
38,General Government,Central fiscal operations
35,Income Security,General retirement and disability insurance (excluding social se
16,Commerce and Housing Credit,Mortgage credit
22,Commerce and Housing Credit,Other advancement of commerce
38,General Government,Central fiscal operations
19,General Government,General purpose fiscal assistance
22,Commerce and Housing Credit,Other advancement of commerce
30,Administration of Justice,Federal law enforcement activities
19,General Government,General purpose fiscal assistance
18,Natural Resources and Environment,Other natural resources
18,Natural Resources and Environment,Other natural resources
21,Income Security,Federal employee retirement and disability
47,Commerce and Housing Credit,Deposit insurance
7,Community and Regional Development,Community development
13,Community and Regional Development,Area and regional development
38,General Government,Central fiscal operations
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
